"","id","id2","comm_time"
"1",6852232720,5229,2.45
"2",6873580645,59766035,0.23
"3",6876994025,31938687,11.58
"4",6880545448,84582046,0.95
"5",6870802956,48644231,0.8
"6",6890116662,43997476,1.8
"7",6883318255,25680099,0.25
"8",6842657642,60149416,2.9
"9",1446237244,10297005,9.42
"10",6826557567,12641167,2.02
"11",1445685537,17671875,3.65
"12",6891206825,77345460,2.67
"13",1446269047,54268499,5.53
"14",1446389199,65626246,10.07
"15",6850560288,12071552,0.68
"16",6888444356,42687999,19.2
"17",1446097929,45671850,2.28
"18",6804595686,6417804,1.42
"19",6856504338,479069115,301.83
"20",6819474795,659123518,32.63
"21",1445716679,57213300,1.32
"22",6855232233,35120796,0.37
"23",6889250312,20218746,0.28
"24",1445896298,43551445,1.48
"25",6804596334,363371,0.8
"26",6821464318,62787618,57.4
"27",1445506670,26342364,6.08
"28",6878545469,96549188,2.52
"29",6871339642,8529781,2.35
"30",6815220700,7605945,0.15
"31",1445555465,367539,1.83
"32",1449689645,4073777,3.17
"33",6843596208,63541587,4.43
"34",1446527687,71546449,10.82
"35",6823788664,54737333,0.43
"36",1445915830,93987785,2.47
"37",6889856748,10078987,1.7
"38",1446582141,9781561,0.58
"39",6870873943,29136100,0.85
"40",1446185468,94704974,2.8
"41",6817739925,52064343,2.02
"42",1445778003,97752408,0.2
"43",6804745756,33126839,2.07
"44",6858152466,502322778,0.48
"45",6862767588,55083812746,6.97
"46",6804595387,77535841,0.28
"47",6858893516,73080214,0.88
"48",6859708938,54602921,2.77
"49",6884417894,37941805,7.12
"50",6821796694,93658700,26.15
"51",1445524759,45659677,355.25
"52",6839280061,70815171,36.98
"53",1445519766,59912021,36.53
"54",1446237223,63512050,0.22
"55",6842430009,6413143,1.53
"56",1446112921,40100291,1.4
"57",1445493054,54221040,0.32
"58",6852865627,18779287,1.8
"59",6815400034,96830363,0.4
"60",1445534611,82025667,0.73
"61",1445550530,40105315,1.85
"62",6804609348,62513725,0.13
"63",6849471393,26242003,0.8
"64",1445552676,80683797,4.75
"65",6884250243,4426091,1.33
"66",1446564051,65628721,0.8
"67",1446348722,151632722,0.77
"68",6870431585,24,4.4
"69",6811947852,58063448,8.83
"70",6882624237,57510621,0.97
"71",6839662078,96815266,6.12
"72",6812167019,45550285,1.87
"73",6870791358,87260110,0.57
"74",6819550238,34925725,8.2
"75",1446033392,59913556,1.13
"76",6859755433,57796832,2.32
"77",6812557209,35127741,7.2
"78",6884336775,28153214,9.48
"79",1445498989,33192861,0.13
"80",6879475142,54790622,1.38
