"source","target","weight"
"atkinson,anthonyc.","morgan,j.p.",1
"atkinson,anthonyc.","anderson-cook,christinem.",1
"atkinson,anthonyc.","majumdar,dibyen",1
"atkinson,anthonyc.","kadane,josephb.",1
"atkinson,anthonyc.","ridout,martins.",1
"atkinson,anthonyc.","draper,d",1
"atkinson,anthonyc.","bailey,r.a.",1
"atkinson,anthonyc.","kunert,joachim",1
"atkinson,anthonyc.","maruri-aguilar,hugo",1
"atkinson,anthonyc.","stehlik,milan",2
"atkinson,anthonyc.","pronzato,luc",1
"atkinson,anthonyc.","mateu,jorge",1
"atkinson,anthonyc.","porcu,emilio",1
"atkinson,anthonyc.","lopez-fidalgo,j",1
"atkinson,anthonyc.","holling,h",1
"atkinson,anthonyc.","wong,wengkee",1
"atkinson,anthonyc.","goos,peter",1
"atkinson,anthonyc.","tsai,pi-wen",1
"atkinson,anthonyc.","steinberg,davidm.",1
"atkinson,anthonyc.","berger,martijnp.f.",1
"atkinson,anthonyc.","vandebroek,m",1
"atkinson,anthonyc.","robinson,timothyj.",1
"atkinson,anthonyc.","herzberg,am",1
"atkinson,anthonyc.","haines,lindam.",1
"atkinson,anthonyc.","boukouvalas,a.",1
"atkinson,anthonyc.","mylona,kalliopi",1
"atkinson,anthonyc.","smucker,byranj.",1
"atkinson,anthonyc.","jones,bradley",1
"atkinson,anthonyc.","cox,dr",1
"atkinson,anthonyc.","schwabe,rainer",1
"atkinson,anthonyc.","strelec,lubos",1
"atkinson,anthonyc.","torsney,b",1
"atkinson,anthonyc.","rodriguez-cortes,franciscoj.",1
"atkinson,anthonyc.","cornford,d",1
"atkinson,anthonyc.","critchley,f",1
"atkinson,anthonyc.","gonzalez,jonatana.",1
"atkinson,anthonyc.","desousabuenofilho,juliosilvio",1
"atkinson,anthonyc.","stone,mervyn",1
"atkinson,anthonyc.","lu,lu",1
"atkinson,anthonyc.","manteinga,wenceslaogonzalez",1
"atkinson,anthonyc.","muller,wernerg.",1
"atkinson,anthonyc.","notz,william",1
"atkinson,anthonyc.","stillman,eleanor",1
"atkinson,anthonyc.","waite,timothy",1
"atkinson,anthonyc.","woods,davidc.",1
