from,to ,weight
2,1,4
3,1,5
4,1,3
5,1,3
6,1,3
7,1,3
8,1,2
9,1,2
11,1,2
12,1,3
13,1,1
14,1,3
18,1,2
20,1,2
22,1,2
32,1,2
3,2,6
4,2,3
8,2,4
14,2,5
18,2,1
20,2,2
22,2,2
31,2,2
4,3,3
8,3,4
9,3,5
10,3,1
14,3,3
28,3,2
29,3,2
33,3,2
8,4,3
13,4,3
14,4,3
7,5,2
11,5,3
7,6,5
11,6,3
17,6,3
17,7,3
31,9,3
33,9,3
34,9,4
34,10,2
34,14,3
33,15,3
34,15,2
33,16,3
34,16,4
33,19,1
34,19,2
34,20,1
33,21,3
34,21,1
33,23,2
34,23,3
26,24,5
28,24,4
30,24,3
33,24,5
34,24,4
26,25,2
28,25,3
32,25,2
32,26,7
30,27,4
34,27,2
34,28,4
32,29,2
34,29,2
33,30,4
34,30,2
33,31,3
34,31,3
33,32,4
34,32,4
34,33,5
