id
"atkinson,anthonyc."
"mcnicholas,pauld."
"summa,mireillegettler"
"yu,keming"
"raftery,adriane."
"mengersen,k"
"gelman,andrew"
"liu,yufeng"
"fearnhead,p"
"morgan,j.p."
"molenberghs,g"
"verbeke,g"
"aerts,m"
"jones,mc"
"west,m"
"fitzmaurice,gm"
"lipsitz,sr"
"ieva,francesca"
"anderson-cook,christinem."
"nadarajah,saralees"
"parmigiani,g"
"robert,cp"
"bird,sheilam."
"vannucci,m"
"lin,xihong"
"farrington,cp"
"majumdar,dibyen"
"kadane,josephb."
"marron,js"
"fan,jianqing"
"aston,johna.d."
"mardia,kv"
"donnelly,p"
"hsu,l"
"ma,shuangge"
"bickel,pj"
"zhu,hongtu"
"li,runze"
"levina,elizaveta"
"zhu,j"
"larget,bret"
"presanis,a.m."
"james,garethm."
"ridout,martins."
"hens,niel"
"ibrahim,josephg."
"welsh,ah"
"kooperberg,c"
"katki,hormuzda."
"liu,han"
"fienberg,se"
"morris,jeffreys."
"huang,jian"
"francis,brian"
"dryden,ianl."
"amara,adam"
"gill,mandeep"
"harmeling,stefan"
"heymans,catherine"
"kitching,thomas"
"gentile,marc"
"heavens,alan"
"hirsch,michael"
"hosseini,reshad"
"kiessling,alina"
"kirk,donnacha"
"massey,richard"
"balan,sreekumar"
"kuijken,konrad"
"mandelbaum,rachel"
"rowe,barnaby"
"moghaddam,baback"
"nurbaeva,guldariya"
"paulin-henriksson,stephane"
"rassat,anais"
"rhodes,jason"
"schrabback,tim"
"schoelkopf,bernhard"
"bernstein,gary"
"bethge,matthias"
"voigt,lisa"
"shawe-taylor,john"
"shmakova,marina"
"taylor,andy"
"velander,malin"
"vanwaerbeke,ludovic"
"bridle,sarah"
"witherick,dugan"
"wittman,david"
"louis,thomasa."
"joyce,p"
"draper,d"
"applegate,douglas"
"balan,sreekumart."
"berge,joel"
"erben,thomas"
"high,f.william"
"hoekstra,henk"
"jarvis,mike"
"kneib,jean-paul"
"lagatutta,david"
"mellier,yannick"
"moudden,yassir"
"nakajima,reiko"
"pires,sandrine"
"refregier,alexandre"
"semboloni,elisabetta"
"scaillet,olivier"
"gustafson,p"
"luati,alessandra"
"kadane,jb"
"delaigle,aurore"
"hall,peter"
"leng,chenlei"
"wang,hansheng"
"wu,yichao"
"johnstone,im"
"bailey,r.a."
"zhou,harrisonh."
"zou,hui"
"zhang,cun-hui"
"hallin,m"
"gandy,axel"
"samworth,richardj."
"dong,yuexiao"
"moulines,eric"
"yao,qw"
"dellaportas,p"
"greenshtein,eitan"
"zhang,haohelen"
"papaspiliopoulos,omiros"
"yohai,victorj."
"worsley,k.j."
"phillips,pcb"
"gather,ursula"
"fan,jq"
"kent,jt"
"linton,o"
"meng,xl"
"wood,ata"
"genon-catalot,v"
"laredo,c"
"kunert,joachim"
"fujikoshi,y"
"ohtaki,m"
"maruri-aguilar,hugo"
"zhang,riquan"
"liu,jicai"
"lv,yazhao"
"ghosh,jk"
"li,g"
"godsill,sj"
"hardle,w"
"richardson,s"
"balding,dj"
"griffin,je"
"jewell,chrisp."
"clarke,bertrands."
"robert,christianp."
"titterington,dm"
"mccoy,ej"
"diggle,peterj."
"chambers,r"
"stephens,davida."
"rosinski,j."
"hobson,d.g."
"porcu,emilio"
"stehlik,milan"
"pronzato,luc"
"leonenko,nn"
"mateu,jorge"
"jankowski,hannak."
"tong,h"
"sorensen,m"
"roberts,go"
"papaspiliopoulos,o."
"hermjakob,henning"
"li,n"
"eeles,rosalind"
