数据库：季度数据
时间：最近13季度
指标,2021年第一季度,2020年第四季度,2020年第三季度,2020年第二季度,2020年第一季度,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度,2018年第三季度,2018年第二季度,2018年第一季度
货物运输量_累计值(万吨),,121389.84,86867.04,53162.11,22622.47,132836.38,97337.02,61553.51,30203.02,128234.41,93361.56,58447.49,28077.71
货物运输量_累计增长(%),,7.6,5.3,1.9,-11.3,3.6,4.3,5.3,7.6,11.2,11.6,12.1,9.4
铁路货运量_累计值(万吨),,1878.45,1395.88,851.31,401.45,1692.45,1225.16,783.82,366.40,1705.26,1262.28,847.28,390.96
铁路货运量_累计增长(%),,11.0,13.9,8.6,9.6,-0.8,-2.9,-7.5,-6.3,-5.7,-7.3,-4.8,-5.1
公路货运量_累计值(万吨),,99679.00,71864.00,43628.00,18789.00,110036.00,81369.00,51491.00,25757.00,107064.00,78553.00,48972.00,23905.00
公路货运量_累计增长(%),,10.8,8.0,3.6,-10.8,2.8,3.6,5.1,7.7,12.7,13.4,13.8,10.3
水运货运量_累计值(万吨),,19819.14,13598.07,8676.88,3429.43,21093.77,14732.75,9272.37,4076.66,19451.95,13536.71,8622.01,3778.69
水运货运量_累计增长(%),,-6.0,-7.7,-6.4,-15.9,8.4,8.8,7.5,7.9,5.1,4.0,5.0,5.6
民用航空货运量_累计值(万吨),,13.24,9.09,5.92,2.59,14.16,10.11,6.32,2.96,13.21,9.57,6.20,3.06
民用航空货运量_累计增长(%),,-9.9,-11.8,-7.5,-15.4,7.7,5.4,2.8,-3.1,-0.3,0.2,-0.2,-1.1
旅客运输量_累计值(万人),,39887.44,28330.87,16287.51,7578.50,63558.26,48424.00,32204.09,17851.56,63634.48,48246.65,32328.33,17959.94
旅客运输量_累计增长(%),,-37.4,-41.7,-49.6,-57.7,-0.1,0.4,-0.3,-0.6,0.5,-0.1,-1.5,-1.4
铁路客运量_累计值(万人),,5230.84,3700.48,2046.76,938.26,8406.80,6515.12,4179.16,2115.76,7706.79,5903.27,3755.96,1846.58
铁路客运量_累计增长(%),,-37.8,-43.2,-51.0,-55.7,9.1,10.4,11.3,14.6,21.4,20.5,16.4,12.1
