数据库：季度数据
时间：最近13季度
指标,2021年第一季度,2020年第四季度,2020年第三季度,2020年第二季度,2020年第一季度,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度,2018年第三季度,2018年第二季度,2018年第一季度
全体居民人均可支配收入_累计值(元),,30824,23539,15735,8482,28920,22099,14990,8368,26386,20180,13690,7657
全体居民人均可支配收入_累计增长(%),,6.6,6.5,5.0,1.4,9.6,9.5,9.5,9.3,9.2,9.3,9.4,9.5
全体居民人均可支配工资性收入_累计值(元),,16514,12793,8710,4697,15475,12015,8326,4571,13928,10858,7484,4112
全体居民人均可支配工资性收入_累计增长(%),,6.7,6.5,4.6,2.8,11.1,10.6,11.3,11.2,10.5,10.8,10.7,9.7
全体居民人均可支配经营净收入_累计值(元),,4902,3671,2411,1458,4697,3485,2411,1531,4311,3186,2203,1414
全体居民人均可支配经营净收入_累计增长(%),,4.4,5.3,-0.0,-4.8,8.9,9.4,9.4,8.2,7.3,9.3,8.1,6.8
全体居民人均可支配财产净收入_累计值(元),,1907,1370,928,510,1792,1310,876,494,1649,1221,819,448
全体居民人均可支配财产净收入_累计增长(%),,6.4,4.6,5.9,3.3,8.7,7.2,6.9,10.2,8.1,8.0,7.8,3.2
全体居民人均可支配转移净收入_累计值(元),,7502,5706,3687,1817,6957,5289,3377,1773,6497,4914,3184,1683
全体居民人均可支配转移净收入_累计增长(%),,7.8,7.9,9.2,2.5,7.1,7.6,6.1,5.4,8.2,6.4,7.7,13.0
全体居民人均生活消费支出_累计值(元),,21678,15232,10056,5115,20774,14903,10263,5638,19248,13744,9406,5263
全体居民人均生活消费支出_累计增长(%),,4.4,2.2,-2.0,-9.3,7.9,8.4,9.1,7.1,7.5,8.1,8.7,8.9
全体居民人均食品烟酒消费支出_累计值(元),,7285,5046,3427,1901,6667,4609,3176,1836,6221,4234,2942,1740
全体居民人均食品烟酒消费支出_累计增长(%),,9.3,9.5,7.9,3.5,7.2,8.9,8.0,5.5,4.7,5.3,3.8,5.1
全体居民人均衣着消费支出_累计值(元),,1459,971,705,394,1492,1093,871,544,1455,1066,850,548
全体居民人均衣着消费支出_累计增长(%),,-2.2,-11.2,-19.1,-27.6,2.6,2.6,2.5,-0.8,4.3,3.8,5.8,5.5
全体居民人均居住消费支出_累计值(元),,4062,2928,1961,970,3851,2809,1883,971,3499,2574,1700,877
全体居民人均居住消费支出_累计增长(%),,5.5,4.2,4.2,-0.1,10.1,9.1,10.8,10.8,11.4,10.9,10.7,9.9
全体居民人均生活用品及服务消费支出_累计值(元),,1517,1057,691,328,1392,1040,710,366,1339,1007,666,350
