time,country,subject,measure,value
1990-01,CZE,LMUNRLTT,ST,6.0
1990-01,CZE,LMUNRRTT,ST,0.1
1990-01,CZE,LMUNRRTT,STSA,-0.141145263574254
1990-01,CZE,MABMM301,IXOBSA,8.70693352878008
1990-01,CZE,PIEAFD02,IXOB,37.6
1990-01,CZE,PIEAMI02,IXOB,28.3
1990-01,CZE,PIEAMP02,IXOB,30.7
1990-01,CZE,PIEATI02,IXOB,27.7860606060606
1990-01,CZE,PRINTO01,IXOBSA,68.2667999723933
1990-02,CZE,LMUNRLTT,ST,5.0
1990-02,CZE,LMUNRRTT,ST,0.1
1990-02,CZE,LMUNRRTT,STSA,-0.0722017963573003
1990-02,CZE,MABMM301,GPSA,3.70293322238401
1990-02,CZE,MABMM301,IXOBSA,9.02934546306818
1990-02,CZE,PIEAFD02,GP,0.0
1990-02,CZE,PIEAFD02,IXOB,37.6
1990-02,CZE,PIEAMI02,GP,0.0
1990-02,CZE,PIEAMI02,IXOB,28.3
1990-02,CZE,PIEAMP02,GP,0.0
1990-02,CZE,PIEAMP02,IXOB,30.7
1990-02,CZE,PIEATI02,GP,0.0
1990-02,CZE,PIEATI02,IXOB,27.7860606060606
1990-02,CZE,PRINTO01,GPSA,-4.12504917702407
1990-02,CZE,PRINTO01,IXOBSA,65.4507609019514
1990-03,CZE,LMUNRLTT,ST,3.0
1990-03,CZE,LMUNRRTT,ST,0.1
1990-03,CZE,LMUNRRTT,STSA,0.0368874073779719
1990-03,CZE,MABMM301,GPSA,3.57071213640923
1990-03,CZE,MABMM301,IXOBSA,9.35175739735626
1990-03,CZE,PIEAFD02,GP,0.0
1990-03,CZE,PIEAFD02,IXOB,37.6
1990-03,CZE,PIEAMI02,GP,0.0
1990-03,CZE,PIEAMI02,IXOB,28.3
1990-03,CZE,PIEAMP02,GP,0.0
1990-03,CZE,PIEAMP02,IXOB,30.7
1990-03,CZE,PIEATI02,GP,0.0
1990-03,CZE,PIEATI02,IXOB,27.7860606060606
1990-03,CZE,PRINTO01,GPSA,22.1328829683274
1990-03,CZE,PRINTO01,IXOBSA,79.9369012142601
1990-04,CZE,LMUNRLTT,ST,4.0
1990-04,CZE,LMUNRRTT,ST,0.1
1990-04,CZE,LMUNRRTT,STSA,0.176418945248893
1990-04,CZE,MABMM301,GPSA,3.44760797985668
1990-04,CZE,MABMM301,IXOBSA,9.67416933164436
1990-04,CZE,PIEAFD02,GP,0.0
1990-04,CZE,PIEAFD02,IXOB,37.6
1990-04,CZE,PIEAMI02,GP,0.0
1990-04,CZE,PIEAMI02,IXOB,28.3
1990-04,CZE,PIEAMP02,GP,0.0
1990-04,CZE,PIEAMP02,IXOB,30.7
1990-04,CZE,PIEATI02,GP,0.0
1990-04,CZE,PIEATI02,IXOB,27.7860606060606
1990-04,CZE,PRINTO01,GPSA,-10.2313537954415
1990-04,CZE,PRINTO01,IXOBSA,71.7582740379166
1990-05,CZE,LMUNRLTT,ST,5.0
1990-05,CZE,LMUNRRTT,ST,0.1
1990-05,CZE,LMUNRRTT,STSA,0.28714783245293
