country,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE
subject,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE
measure,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,HCPCARSA,HVPVOBARSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA
time,,,,,,,,,,,,,,,
1994-Q1,,,,,,,,,,,,,,2639039.8,
1994-Q2,,,,,,,0.967110121,,,,,,,2664562.2,
1994-Q3,,,,,,,1.359144477,,,,,,,2700777.5,
1994-Q4,,,,,,,2.186255117,,,,,,,2759823.4,
1995-Q1,1518200.0,139180.0,351523.0,379550.0,,,1.708041588,6.363014593,13470.8,20998.4,,,,2806962.3,216955.2
1995-Q2,1568724.0,140889.7,395804.0,392181.0,,,0.395624855,5.760987897,13637.6,21083.5,,,,2818067.3,217813.6
1995-Q3,1627548.0,145344.1,415364.0,406887.0,,,2.919067488,7.38865553,14068.7,21698.9,,,,2900328.6,224171.7
1995-Q4,1665052.0,145052.4,433615.0,416263.0,,,-0.770604418,4.281259436,14043.2,21535.9,,,,2877978.6,222444.2
1996-Q1,1772128.0,149426.1,409767.0,443032.0,60.1,60.1,2.381026668,4.971271068,14482.1,22072.2,691143.0,736626.0,63.7,2946504.0,227740.7
1996-Q2,1809860.0,150650.6,456980.0,452465.0,61.0,61.0,0.707957634,5.297838773,14605.0,22234.9,748659.0,741841.0,64.2,2967364.0,229353.0
1996-Q3,1842232.0,151476.0,472514.0,460558.0,61.8,61.8,0.444569658,2.766147806,14685.0,22333.7,763510.0,745139.0,64.4,2980556.0,230372.6
1996-Q4,1886068.0,152444.7,489994.0,471517.0,63.2,63.2,0.096089454,3.66373254,14783.2,22361.7,768341.0,745855.0,64.5,2983420.0,230594.0
1997-Q1,1916276.0,152738.8,441336.0,479069.0,64.5,64.5,-0.410133337,0.8376028,14820.4,22283.0,693871.0,742796.0,64.2,2971184.0,229648.2
1997-Q2,1938652.0,152449.1,491272.0,484663.0,65.4,65.4,-0.303582679,-0.175239708,14795.1,22219.6,749566.0,740541.0,64.0,2962164.0,228951.0
1997-Q3,1976704.0,152207.5,508163.0,494176.0,67.2,67.2,-0.634806175,-1.24795508,14771.7,22078.6,756433.0,735840.0,63.6,2943360.0,227497.6
1997-Q4,2043280.0,152701.5,530253.0,510820.0,69.6,69.6,-0.222874538,-1.562636169,14822.5,22033.6,756380.0,734200.0,63.5,2936800.0,226990.6
1998-Q1,2098792.0,152943.9,485040.0,524698.0,71.5,71.5,-0.005992917,-1.163172661,14853.3,22043.0,688207.0,734156.0,63.5,2936624.0,226977.0
1998-Q2,2160316.0,153967.2,546405.0,540079.0,73.4,73.4,0.290401495,-0.574309863,14955.5,22111.3,742212.0,736288.0,63.7,2945152.0,227636.2
1998-Q3,2186248.0,154508.1,560358.0,546562.0,74.3,74.3,-0.030558694,0.030305501,15008.1,22104.6,754156.0,736063.0,63.7,2944252.0,227566.6
1998-Q4,2171692.0,154597.0,564821.0,542923.0,73.7,73.7,0.079476893,0.333424135,15019.6,22126.4,761134.0,736648.0,63.7,2946592.0,227747.5
1999-Q1,2190556.0,155535.4,506463.0,547639.0,74.3,74.3,0.06013727,0.399778794,15122.5,22157.0,691767.0,737091.0,63.7,2948364.0,227884.4
1999-Q2,2229616.0,156922.4,566822.0,557404.0,75.3,75.3,0.401035964,0.510533922,15261.9,22252.3,749212.0,740047.0,64.0,2960188.0,228798.3
1999-Q3,2259740.0,158562.2,577201.0,564935.0,75.6,75.6,0.95331783,1.499735756,15419.8,22462.3,762930.0,747102.0,64.6,2988408.0,230979.5
1999-Q4,2308996.0,160641.7,602497.0,577249.0,76.4,76.4,1.078567585,2.513004854,15625.1,22709.0,782573.0,755160.0,65.3,3020640.0,233470.8
2000-Q1,2320220.0,162370.8,540690.0,580055.0,75.8,75.8,1.338391864,3.822594496,15804.1,23028.6,723434.0,765267.0,66.2,3061068.0,236595.5
2000-Q2,2368760.0,164862.2,598350.0,592190.0,76.6,76.6,1.022126918,4.464851557,16049.7,23268.5,777141.0,773089.0,66.9,3092356.0,239013.8
2000-Q3,2416680.0,168363.1,612979.0,604170.0,77.1,77.1,1.32326291,4.84766471,16390.5,23576.4,794715.0,783319.0,67.7,3133276.0,242176.6
2000-Q4,2445064.0,171067.0,634270.0,611266.0,77.7,77.7,0.436093086,4.181233116,16658.6,23686.1,810682.0,786735.0,68.0,3146940.0,243232.7
2001-Q1,2508644.0,176131.3,584472.0,627161.0,78.8,78.8,1.15706051,3.994814882,17215.5,24049.2,750924.0,795838.0,68.8,3183352.0,246047.1
2001-Q2,2548776.0,179097.1,643332.0,637194.0,79.8,79.8,0.278322975,3.229123684,17512.2,24125.5,801853.0,798053.0,69.0,3192212.0,246731.9
