time,note,subject,measure,value
2016-01-01,参考指标,固定资产投资总额,%,
2016-02-01,参考指标,固定资产投资总额,%,10.1
2016-03-01,参考指标,固定资产投资总额,%,12.0
2016-04-01,参考指标,固定资产投资总额,%,12.5
2016-05-01,参考指标,固定资产投资总额,%,12.7
2016-06-01,参考指标,固定资产投资总额,%,12.5
2016-07-01,参考指标,固定资产投资总额,%,12.2
2016-08-01,参考指标,固定资产投资总额,%,12.2
2016-09-01,参考指标,固定资产投资总额,%,12.2
2016-10-01,参考指标,固定资产投资总额,%,11.9
2016-11-01,参考指标,固定资产投资总额,%,12.0
2016-12-01,参考指标,固定资产投资总额,%,12.1
2017-01-01,参考指标,固定资产投资总额,%,
2017-02-01,参考指标,固定资产投资总额,%,11.6
2017-03-01,参考指标,固定资产投资总额,%,11.8
2017-04-01,参考指标,固定资产投资总额,%,12.0
2017-05-01,参考指标,固定资产投资总额,%,12.2
2017-06-01,参考指标,固定资产投资总额,%,12.3
2017-07-01,参考指标,固定资产投资总额,%,12.1
2017-08-01,参考指标,固定资产投资总额,%,10.2
2017-09-01,参考指标,固定资产投资总额,%,10.1
2017-10-01,参考指标,固定资产投资总额,%,10.0
2017-11-01,参考指标,固定资产投资总额,%,10.0
2017-12-01,参考指标,固定资产投资总额,%,9.5
2018-01-01,参考指标,固定资产投资总额,%,
2018-02-01,参考指标,固定资产投资总额,%,4.8
2018-03-01,参考指标,固定资产投资总额,%,4.5
2018-04-01,参考指标,固定资产投资总额,%,4.8
2018-05-01,参考指标,固定资产投资总额,%,5.3
2018-06-01,参考指标,固定资产投资总额,%,5.5
2018-07-01,参考指标,固定资产投资总额,%,6.0
2018-08-01,参考指标,固定资产投资总额,%,6.6
2018-09-01,参考指标,固定资产投资总额,%,7.2
2018-10-01,参考指标,固定资产投资总额,%,7.5
2018-11-01,参考指标,固定资产投资总额,%,7.0
2018-12-01,参考指标,固定资产投资总额,%,7.0
2019-01-01,参考指标,固定资产投资总额,%,
2019-02-01,参考指标,固定资产投资总额,%,5.7
2019-03-01,参考指标,固定资产投资总额,%,6.6
2019-04-01,参考指标,固定资产投资总额,%,6.4
2019-05-01,参考指标,固定资产投资总额,%,6.0
2019-06-01,参考指标,固定资产投资总额,%,6.1
2019-07-01,参考指标,固定资产投资总额,%,5.6
2019-08-01,参考指标,固定资产投资总额,%,5.1
2019-09-01,参考指标,固定资产投资总额,%,5.5
2019-10-01,参考指标,固定资产投资总额,%,5.5
2019-11-01,参考指标,固定资产投资总额,%,5.2
2019-12-01,参考指标,固定资产投资总额,%,5.7
2020-01-01,参考指标,固定资产投资总额,%,
2020-02-01,参考指标,固定资产投资总额,%,-44.0
2020-03-01,参考指标,固定资产投资总额,%,-16.1
2020-04-01,参考指标,固定资产投资总额,%,-10.4
2020-05-01,参考指标,固定资产投资总额,%,-5.2
2020-06-01,参考指标,固定资产投资总额,%,0.2
2020-07-01,参考指标,固定资产投资总额,%,1.1
2020-08-01,参考指标,固定资产投资总额,%,2.0
2020-09-01,参考指标,固定资产投资总额,%,2.5
2020-10-01,参考指标,固定资产投资总额,%,3.3
2020-11-01,参考指标,固定资产投资总额,%,3.9
2020-12-01,参考指标,固定资产投资总额,%,3.9
2021-01-01,参考指标,固定资产投资总额,%,
2021-02-01,参考指标,固定资产投资总额,%,52.4
