,count,mean,std,min,25%,50%,75%,max,趋势斜率,2阶中心距,波谷,波峰
管道1温度,5000.0,374.3109200000013,21.451901211004948,338.6,354.5,374.6,391.0,420.2,-0.006505509793020392,460.0920287536021,157,157
管道2温度,5000.0,397.9087799999997,16.85238480115789,356.8,389.475,401.3,411.2,426.6,-0.0027604831392193264,283.9460729116002,106,106
管道3温度,5000.0,396.70924,10.67594837928504,364.2,389.3,395.0,405.9,420.2,-0.0009426010169040405,113.95307862239946,139,139
管道4温度,5000.0,387.60632000000106,16.375821859250717,350.6,373.7,387.15,404.1,420.9,-0.004891289235651569,268.11390805760044,255,255
管道5温度,5000.0,391.3617800000002,12.977682893423548,360.0,380.3,391.1,402.0,419.9,-0.0024761106030444222,168.38656923160175,229,229
管道6温度,5000.0,376.8433600000008,16.656865796002165,338.0,362.0,377.1,391.92499999999995,409.5,-0.004635848604633945,277.39568791039767,117,117
管道7温度,5000.0,386.1856400000003,16.02179569766995,350.6,373.9,387.5,398.4,416.5,-0.003280637603225506,256.6465977903998,121,121
管道8温度,5000.0,378.6845200000014,17.21067929705195,351.2,362.8,376.7,390.9,421.3,-0.004275121428604859,296.1482403695994,778,778
管道9温度,5000.0,408.03364000000073,17.706410018452313,368.7,394.3,410.1,417.8,454.3,0.005997858758314349,313.4542523504001,241,241
管道10温度,5000.0,424.9090600000001,18.69407728724592,378.8,412.4,423.2,441.8,465.4,0.007901971328878854,349.3986319163995,192,192
