,AdaBoost,KNN,Decision Tree,Logistic,GBDT,XGBoost,SVM,Random Forest,MLP
0,0.938,0.902,0.89,0.929,0.943,0.936,0.924,0.939,0.924
1,0.921,0.914,0.887,0.924,0.929,0.949,0.924,0.948,0.934
2,0.922,0.927,0.884,0.921,0.924,0.929,0.921,0.931,0.926
3,0.914,0.901,0.906,0.926,0.914,0.924,0.933,0.926,0.922
4,0.938,0.929,0.919,0.946,0.943,0.941,0.929,0.934,0.953
5,0.934,0.916,0.901,0.927,0.929,0.934,0.934,0.939,0.939
6,0.924,0.917,0.895,0.926,0.934,0.939,0.922,0.927,0.943
7,0.926,0.922,0.899,0.922,0.929,0.936,0.929,0.929,0.929
8,0.912,0.916,0.909,0.922,0.917,0.934,0.926,0.936,0.929
9,0.922,0.907,0.901,0.906,0.921,0.929,0.914,0.921,0.931
