,AdaBoost,KNN,Decision Tree,Logistic,GBDT,XGBoost,SVM,Random Forest,MLP
0,0.889,0.885,0.847,0.857,0.911,0.922,0.895,0.924,0.906
1,0.87,0.872,0.826,0.838,0.899,0.899,0.875,0.895,0.862
2,0.87,0.853,0.874,0.838,0.89,0.897,0.841,0.892,0.877
3,0.83,0.86,0.823,0.838,0.862,0.865,0.843,0.867,0.874
4,0.862,0.865,0.89,0.85,0.882,0.899,0.867,0.904,0.872
5,0.863,0.818,0.85,0.848,0.889,0.882,0.879,0.884,0.879
6,0.85,0.847,0.845,0.858,0.88,0.887,0.865,0.887,0.877
7,0.857,0.84,0.838,0.86,0.89,0.899,0.87,0.884,0.868
8,0.862,0.855,0.852,0.85,0.874,0.89,0.87,0.894,0.882
9,0.87,0.862,0.852,0.857,0.899,0.902,0.885,0.899,0.895
