,AdaBoost,KNN,Decision Tree,Logistic,GBDT,XGBoost,SVM,Random Forest,MLP
0,0.83,0.798,0.803,0.823,0.857,0.872,0.84,0.87,0.845
1,0.815,0.789,0.781,0.777,0.84,0.847,0.815,0.847,0.821
2,0.82,0.782,0.777,0.793,0.833,0.848,0.808,0.845,0.84
3,0.809,0.786,0.793,0.784,0.835,0.84,0.786,0.833,0.836
4,0.816,0.808,0.83,0.821,0.855,0.847,0.815,0.848,0.847
5,0.816,0.799,0.804,0.793,0.836,0.86,0.799,0.84,0.833
6,0.823,0.811,0.809,0.794,0.853,0.857,0.808,0.862,0.847
7,0.841,0.811,0.848,0.82,0.858,0.87,0.82,0.86,0.845
8,0.826,0.825,0.808,0.815,0.848,0.862,0.815,0.84,0.847
9,0.821,0.776,0.821,0.799,0.84,0.858,0.796,0.843,0.831
