,AdaBoost,KNN,Decision Tree,Logistic,GBDT,XGBoost,SVM,Random Forest,MLP
0,0.906,0.912,0.926,0.889,0.924,0.951,0.894,0.949,0.939
1,0.927,0.894,0.921,0.884,0.938,0.943,0.892,0.946,0.934
2,0.929,0.894,0.901,0.884,0.944,0.953,0.901,0.943,0.939
3,0.912,0.914,0.916,0.895,0.938,0.943,0.897,0.944,0.931
4,0.899,0.89,0.911,0.894,0.938,0.965,0.899,0.96,0.926
5,0.916,0.882,0.934,0.895,0.936,0.941,0.889,0.948,0.931
6,0.907,0.899,0.909,0.892,0.933,0.948,0.868,0.944,0.943
7,0.892,0.897,0.89,0.865,0.914,0.912,0.897,0.929,0.912
8,0.926,0.894,0.912,0.907,0.936,0.948,0.895,0.939,0.936
9,0.916,0.894,0.922,0.895,0.943,0.949,0.919,0.943,0.943
