,AdaBoost,KNN,Decision Tree,Logistic,GBDT,XGBoost,SVM,Random Forest,MLP
0,0.836,0.848,0.843,0.836,0.872,0.885,0.848,0.877,0.882
1,0.841,0.858,0.84,0.838,0.877,0.892,0.85,0.874,0.872
2,0.86,0.872,0.848,0.831,0.875,0.889,0.87,0.89,0.877
3,0.835,0.867,0.853,0.847,0.892,0.901,0.88,0.897,0.894
4,0.863,0.858,0.858,0.848,0.887,0.887,0.875,0.895,0.874
5,0.833,0.836,0.838,0.843,0.867,0.879,0.845,0.874,0.868
6,0.831,0.843,0.813,0.826,0.868,0.862,0.843,0.863,0.852
7,0.85,0.845,0.833,0.847,0.858,0.875,0.85,0.874,0.882
8,0.84,0.857,0.845,0.84,0.88,0.904,0.884,0.88,0.884
9,0.847,0.848,0.852,0.855,0.88,0.902,0.858,0.89,0.899
