,10cm湿度(kg/m2),40cm湿度(kg/m2),100cm湿度(kg/m2),200cm湿度(kg/m2)
土壤蒸发量(W/m2),-0.62,-4.37,-6.58,0.21
土壤蒸发量(mm),0.8,4.6,6.56,-0.19
平均气温(℃),-0.81,-1.46,-7.46,0.65
平均最高气温(℃),0.17,1.08,7.17,-0.57
平均最低气温(℃),0.42,0.81,1.18,-0.31
最高气温极值(℃),-0.0,-0.13,-0.27,0.03
最低气温极值(℃),-0.07,0.17,0.07,0.03
平均气温≥18℃的天数,-0.04,-0.38,-0.61,0.03
平均气温≥35℃的天数,0.0,0.0,0.0,-0.0
平均气温≤0℃的天数,-0.1,0.26,0.41,-0.03
平均露点温度(℃),0.35,0.09,0.01,0.1
降水量(mm),-0.0,0.02,0.02,-0.0
最大单日降水量(mm),0.0,0.03,0.01,0.0
降水天数,-0.03,-0.31,-0.1,-0.02
平均海平面气压(hPa),0.08,0.68,1.16,-0.1
最低海平面气压(hPa),-0.02,-0.33,-0.76,0.04
平均站点气压(hPa),-0.01,-0.59,-1.17,0.08
平均能见度(km),0.09,0.61,2.0,-0.03
最小能见度(km),-0.03,-0.26,-0.74,0.05
最大能见度(km),0.04,0.48,0.34,-0.26
平均风速(knots),0.44,2.39,6.25,-0.07
平均最大持续风速(knots),-0.32,-2.83,-6.08,0.18
单日最大平均风速(knots),0.01,0.13,-0.08,0.06
