变量,lag,AC,Q,Prob(>Q)
土壤蒸发量(W/m2),1,0.07,0.612,0.434
土壤蒸发量(W/m2),2,-0.002,0.613,0.736
土壤蒸发量(W/m2),3,-0.096,1.805,0.614
土壤蒸发量(W/m2),4,-0.04,2.014,0.733
土壤蒸发量(W/m2),5,0.051,2.354,0.798
土壤蒸发量(W/m2),6,0.114,4.066,0.668
土壤蒸发量(W/m2),7,0.016,4.099,0.768
土壤蒸发量(W/m2),8,0.034,4.25,0.834
土壤蒸发量(W/m2),9,0.057,4.689,0.861
土壤蒸发量(W/m2),10,-0.114,6.444,0.777
土壤蒸发量(W/m2),11,-0.001,6.444,0.842
土壤蒸发量(W/m2),12,0.209,12.523,0.405
土壤蒸发量(W/m2),13,0.148,15.589,0.272
土壤蒸发量(W/m2),14,-0.053,15.991,0.314
土壤蒸发量(W/m2),15,-0.06,16.504,0.349
土壤蒸发量(W/m2),16,-0.043,16.776,0.4
土壤蒸发量(W/m2),17,0.017,16.82,0.467
土壤蒸发量(W/m2),18,0.063,17.405,0.495
土壤蒸发量(W/m2),19,0.046,17.712,0.542
土壤蒸发量(W/m2),20,-0.077,18.607,0.548
土壤蒸发量(mm),1,0.081,0.826,0.364
土壤蒸发量(mm),2,0.013,0.846,0.655
土壤蒸发量(mm),3,-0.097,2.061,0.56
土壤蒸发量(mm),4,-0.039,2.256,0.689
土壤蒸发量(mm),5,0.057,2.685,0.748
土壤蒸发量(mm),6,0.112,4.334,0.632
土壤蒸发量(mm),7,0.019,4.38,0.735
土壤蒸发量(mm),8,0.032,4.517,0.808
土壤蒸发量(mm),9,0.044,4.782,0.853
土壤蒸发量(mm),10,-0.106,6.322,0.788
土壤蒸发量(mm),11,-0.006,6.326,0.851
土壤蒸发量(mm),12,0.217,12.868,0.379
土壤蒸发量(mm),13,0.143,15.719,0.265
土壤蒸发量(mm),14,-0.042,15.964,0.316
土壤蒸发量(mm),15,-0.059,16.466,0.352
土壤蒸发量(mm),16,-0.044,16.739,0.403
土壤蒸发量(mm),17,0.023,16.814,0.467
土壤蒸发量(mm),18,0.066,17.446,0.493
土壤蒸发量(mm),19,0.044,17.731,0.54
土壤蒸发量(mm),20,-0.073,18.527,0.553
平均气温(℃),1,-0.061,0.468,0.494
平均气温(℃),2,-0.144,3.089,0.213
平均气温(℃),3,-0.073,3.775,0.287
平均气温(℃),4,0.12,5.646,0.227
平均气温(℃),5,0.071,6.306,0.278
平均气温(℃),6,-0.077,7.094,0.312
平均气温(℃),7,-0.033,7.236,0.405
平均气温(℃),8,0.006,7.242,0.511
平均气温(℃),9,-0.03,7.362,0.599
平均气温(℃),10,0.052,7.728,0.655
平均气温(℃),11,0.016,7.762,0.734
平均气温(℃),12,-0.153,11.007,0.528
平均气温(℃),13,0.014,11.034,0.608
平均气温(℃),14,-0.013,11.059,0.681
平均气温(℃),15,0.049,11.402,0.724
平均气温(℃),16,-0.077,12.258,0.726
平均气温(℃),17,0.076,13.091,0.73
平均气温(℃),18,0.035,13.267,0.775
平均气温(℃),19,-0.004,13.27,0.824
平均气温(℃),20,0.031,13.414,0.859
平均最高气温(℃),1,0.024,0.07,0.791
平均最高气温(℃),2,-0.097,1.267,0.531
