,10cm湿度(kg/m2),40cm湿度(kg/m2),100cm湿度(kg/m2),200cm湿度(kg/m2)
2012-01-01,12.935455268629486,,,
2012-02-01,11.117927566127698,,,
2012-03-01,12.22273349763858,,,
2012-04-01,12.35957126992695,,,
2012-05-01,13.787053287076212,,,
2012-06-01,20.18014285713072,,,
2012-07-01,20.248908295990447,,,
2012-08-01,15.937922701215216,,,
2012-09-01,15.88600388095346,,,
2012-10-01,14.463334516529159,,,
2012-11-01,13.402816202625665,,,
2012-12-01,12.990126797120652,,,
2013-01-01,12.628905522075366,,,
2013-02-01,12.073014730357286,,,
2013-03-01,11.737385871817668,,,
2013-04-01,12.443497322636496,,,
2013-05-01,13.443039817805978,,,
2013-06-01,20.85333277374841,,,
2013-07-01,21.34978304633388,,,
2013-08-01,16.83769935756841,,,
2013-09-01,14.484343136846412,,,
2013-10-01,13.016844661390229,,,
2013-11-01,13.146975593665559,,,
2013-12-01,13.070539374374423,,,
2014-01-01,10.608152183025853,,,
2014-02-01,11.204083894782347,,,
2014-03-01,12.596551999820834,,,
2014-04-01,14.341696342551398,,,
2014-05-01,16.197170645477563,,,
2014-06-01,18.970238874160273,,,
2014-07-01,17.523426173801965,,,
2014-08-01,15.272030804675715,,,
2014-09-01,13.388714250203522,,,
2014-10-01,13.906407563053136,,,
2014-11-01,12.727920972309613,,,
2014-12-01,13.01171075178354,,,
2015-01-01,12.079335241309897,,,
2015-02-01,12.17855638356742,,,
2015-03-01,10.439935280414293,,,
2015-04-01,13.966541379201772,,,
2015-05-01,14.159923115986711,,,
2015-06-01,17.453765015460895,,,
2015-07-01,17.233127583255794,,,
2015-08-01,15.502200665214358,,,
2015-09-01,15.375231355087706,,,
2015-10-01,14.418764640383554,,,
2015-11-01,13.521490222256766,,,
2015-12-01,13.221194840948469,,,
2016-01-01,13.306203643595705,,,
2016-02-01,12.449178357780672,,,
2016-03-01,12.696166909055876,,,
2016-04-01,11.840766759043635,,,
2016-05-01,16.25445746838699,,,
2016-06-01,16.952502291596335,,,
2016-07-01,17.45631241475944,,,
2016-08-01,14.481056653371429,,,
2016-09-01,15.359204108711909,,,
2016-10-01,14.615784679741243,,,
2016-11-01,14.156830899048028,,,
2016-12-01,12.430662291576176,,,
2017-01-01,12.304475473284688,,,
2017-02-01,12.045875777301884,,,
2017-03-01,11.90578100688672,,,
2017-04-01,11.278756935923504,,,
2017-05-01,12.998743579760042,,,
2017-06-01,14.34158102672033,,,
2017-07-01,16.691341602057424,,,
2017-08-01,16.110006499316437,,,
2017-09-01,12.711411128420652,,,
2017-10-01,13.263406573548028,,,
2017-11-01,12.868603138859452,,,
2017-12-01,12.561691902956515,,,
2018-01-01,12.173010559791472,,,
2018-02-01,11.690592925821253,,,
2018-03-01,10.988682983398068,,,
