lag,土壤蒸发量(W/m2)Q,土壤蒸发量(W/m2)Prob(>Q),土壤蒸发量(mm)Q,土壤蒸发量(mm)Prob(>Q),平均气温(℃)Q,平均气温(℃)Prob(>Q),平均最高气温(℃)Q,平均最高气温(℃)Prob(>Q),平均最低气温(℃)Q,平均最低气温(℃)Prob(>Q),平均能见度(km)Q,平均能见度(km)Prob(>Q),平均风速(knots)Q,平均风速(knots)Prob(>Q),平均最大持续风速(knots)Q,平均最大持续风速(knots)Prob(>Q)
1.0,11.466,0.001,11.128,0.001,59.193,0.0,53.45,0.0,63.451,0.0,0.008,0.927,3.995,0.046,0.051,0.821
2.0,11.557,0.003,11.165,0.004,77.964,0.0,70.208,0.0,83.489,0.0,3.129,0.209,4.289,0.117,0.284,0.868
3.0,13.023,0.005,12.708,0.005,78.141,0.0,70.562,0.0,83.515,0.0,3.357,0.34,8.57,0.036,10.163,0.017
4.0,20.164,0.0,20.078,0.0,98.97,0.0,90.243,0.0,104.453,0.0,4.299,0.367,10.537,0.032,13.697,0.008
5.0,27.799,0.0,27.606,0.0,152.923,0.0,138.083,0.0,165.132,0.0,7.183,0.207,10.54,0.061,13.698,0.018
6.0,38.196,0.0,38.212,0.0,225.457,0.0,202.649,0.0,247.794,0.0,7.215,0.301,12.575,0.05,15.818,0.015
7.0,51.194,0.0,50.969,0.0,283.766,0.0,255.526,0.0,310.105,0.0,8.325,0.305,12.62,0.082,15.82,0.027
8.0,54.202,0.0,54.01,0.0,302.903,0.0,274.156,0.0,329.442,0.0,14.787,0.063,14.188,0.077,21.352,0.006
9.0,54.202,0.0,54.012,0.0,303.219,0.0,274.532,0.0,329.526,0.0,15.171,0.086,21.582,0.01,32.011,0.0
10.0,54.661,0.0,54.583,0.0,321.208,0.0,290.553,0.0,348.51,0.0,17.4,0.066,21.942,0.015,32.366,0.0
11.0,65.564,0.0,65.232,0.0,377.166,0.0,342.45,0.0,406.759,0.0,18.563,0.069,23.033,0.017,38.738,0.0
12.0,97.833,0.0,97.469,0.0,457.116,0.0,416.384,0.0,490.612,0.0,20.853,0.053,50.337,0.0,66.841,0.0
13.0,113.602,0.0,113.008,0.0,513.426,0.0,469.83,0.0,548.429,0.0,21.981,0.056,50.591,0.0,71.743,0.0
14.0,113.615,0.0,113.041,0.0,529.681,0.0,484.456,0.0,565.814,0.0,21.985,0.079,50.682,0.0,71.809,0.0
15.0,114.578,0.0,113.988,0.0,529.823,0.0,484.734,0.0,565.833,0.0,22.092,0.105,64.743,0.0,84.801,0.0
16.0,118.048,0.0,117.662,0.0,547.147,0.0,500.903,0.0,583.611,0.0,22.244,0.135,64.749,0.0,86.447,0.0
17.0,125.932,0.0,125.448,0.0,595.783,0.0,544.964,0.0,636.218,0.0,23.855,0.123,64.881,0.0,86.459,0.0
18.0,133.126,0.0,132.719,0.0,656.03,0.0,596.451,0.0,706.581,0.0,26.418,0.091,68.458,0.0,88.65,0.0
19.0,139.355,0.0,138.936,0.0,705.904,0.0,642.236,0.0,759.908,0.0,28.538,0.074,69.161,0.0,88.799,0.0
20.0,146.124,0.0,145.728,0.0,723.273,0.0,658.986,0.0,776.79,0.0,30.467,0.063,69.175,0.0,91.577,0.0
