,土壤蒸发量(W/m2),土壤蒸发量(mm),平均气温(℃),平均最高气温(℃),平均最低气温(℃),平均能见度(km),平均风速(knots),平均最大持续风速(knots)
2022-04-30,0.57,0.61,-22.94,-16.04,-29.35,29.0,5.52,8.96
2022-05-31,0.96,0.93,-14.13,-7.15,-23.91,29.32,5.85,11.18
2022-06-30,2.09,2.22,1.53,5.31,-4.34,28.23,6.84,12.93
2022-07-31,8.79,8.81,17.73,24.5,9.39,28.36,7.93,14.93
2022-08-31,19.97,20.98,19.13,27.52,9.59,28.64,7.91,15.26
2022-09-30,36.21,36.51,15.29,20.6,12.16,28.49,6.74,11.03
2022-10-31,25.73,28.01,16.33,20.6,11.48,28.27,6.72,10.38
2022-11-30,9.97,10.52,12.66,19.14,3.48,29.42,6.99,11.19
2022-12-31,10.47,11.02,1.82,10.52,-7.33,29.01,6.46,9.38
2023-01-31,0.96,1.39,-8.7,-1.16,-14.66,29.04,6.24,9.51
2023-02-28,-1.62,-1.67,-18.34,-13.17,-24.27,26.75,6.07,9.81
2023-03-31,-0.57,-0.43,-22.85,-17.14,-29.9,28.16,5.62,9.65
2023-04-30,1.89,2.06,-16.49,-10.13,-24.32,27.82,6.31,10.73
2023-05-31,5.75,6.09,-6.16,0.78,-14.71,28.93,7.48,12.78
2023-06-30,10.63,11.31,6.26,12.81,-2.46,28.07,8.23,14.64
2023-07-31,13.49,14.22,11.71,19.31,4.12,27.96,8.28,14.71
2023-08-31,19.16,20.37,20.75,25.76,13.43,28.42,7.58,13.4
2023-09-30,34.64,35.55,21.25,26.95,14.9,28.01,6.6,11.44
2023-10-31,24.35,26.41,19.33,25.82,11.81,29.04,6.1,10.26
2023-11-30,14.5,15.04,13.36,20.15,5.59,28.69,6.26,10.86
2023-12-31,5.37,5.75,2.77,9.55,-5.47,29.1,6.52,11.03
