,10cm湿度(kg/m2),40cm湿度(kg/m2),100cm湿度(kg/m2),200cm湿度(kg/m2)
土壤蒸发量(W/m2),-0.622085863336078,-4.368257864795916,-6.580223206016172,0.21369163938834693
土壤蒸发量(mm),0.7981873988541779,4.5957874803564795,6.564715737463979,-0.18883716726406335
平均气温(℃),-0.807671931651974,-1.45671965396103,-7.464239996996877,0.6463511196488089
平均最高气温(℃),0.171613845412605,1.0827088547731087,7.165985305908508,-0.5694036265531
平均最低气温(℃),0.42261404811988534,0.8089210280632326,1.1849811992957593,-0.3076116813266554
最高气温极值(℃),-0.0023338506754409056,-0.1299248164984217,-0.26890685126496666,0.028555562178898805
最低气温极值(℃),-0.06834150747039575,0.17108262543330557,0.07417681807472828,0.02681803502207485
平均气温≥18℃的天数,-0.03718988375615242,-0.3802520813311312,-0.6141200821676995,0.02908872938930395
平均气温≥35℃的天数,1.970645868709653e-15,7.993605777301127e-15,1.9539925233402755e-14,-1.2073675392798577e-15
平均气温≤0℃的天数,-0.10141181679724177,0.2621880022842984,0.4089745871059731,-0.03335131610417774
平均露点温度(℃),0.3508688203640165,0.0868207698416472,0.011931979506515013,0.09550067449225991
降水量(mm),-0.00014178897418729415,0.017132057796280034,0.023695576569694274,-0.0016186974544853876
最大单日降水量(mm),0.001724277864818353,0.03476837058941076,0.006800168615188092,0.00045069558367607105
降水天数,-0.03022667413544284,-0.30523138848831216,-0.10470174744758129,-0.018331039961173416
平均海平面气压(hPa),0.08334812806911159,0.676347134678524,1.1565498962431244,-0.0998423529421312
最低海平面气压(hPa),-0.017488588129484717,-0.3272201622384701,-0.7556277276696737,0.044718025601342845
平均站点气压(hPa),-0.010523643055391203,-0.5888088093301305,-1.1739921644389826,0.08271421950310574
平均能见度(km),0.09151709917655065,0.6058896502049834,2.0002180731627925,-0.030046219607313514
最小能见度(km),-0.03327758447498188,-0.2642723634191058,-0.7367616040965042,0.054158976833492724
最大能见度(km),0.03543211415011042,0.4818423757793923,0.34338631509207135,-0.262644201604946
平均风速(knots),0.4429743330577084,2.393413564981653,6.254322076830357,-0.07344376690910256
平均最大持续风速(knots),-0.31862299744561184,-2.831562039486068,-6.082205279640421,0.177929944928661
单日最大平均风速(knots),0.00674613384897622,0.12898710682160638,-0.08360324455245653,0.058968892794111875
